epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3003,1.05851,3.91078,1.40469,0.00665,0.90018,0.19385,0.1213,0.83282,3.05624,1.19832,0.000250879,0.000250879,0.000250879
2,21.408,0.83521,2.79855,1.18839,0.37047,0.43444,0.35771,0.26935,0.80222,2.20377,1.13764,0.000456999,0.000456999,0.000456999
3,26.5051,0.80841,2.46929,1.14209,0.48572,0.56036,0.49347,0.37488,0.81461,1.94682,1.12023,0.000612364,0.000612364,0.000612364
4,31.464,0.77083,2.26572,1.1258,0.5358,0.59372,0.55626,0.41632,0.80435,1.62725,1.1036,0.000540607,0.000540607,0.000540607
5,36.4145,0.75504,2.09768,1.10785,0.45238,0.62004,0.53462,0.41025,0.78758,1.67196,1.10353,0.000464476,0.000464476,0.000464476
6,41.3664,0.67989,1.93367,1.03984,0.56872,0.56024,0.58453,0.47201,0.71742,1.46081,1.05331,0.000388345,0.000388345,0.000388345
7,46.2696,0.64375,1.82669,1.01991,0.5752,0.65341,0.61137,0.50321,0.69167,1.39146,1.04512,0.000312214,0.000312214,0.000312214
8,51.2391,0.58458,1.66844,0.9814,0.54223,0.65422,0.62618,0.50657,0.66759,1.38667,1.04469,0.000236083,0.000236083,0.000236083
9,56.217,0.56298,1.61102,0.97541,0.59049,0.65327,0.63205,0.53327,0.63241,1.33139,1.0133,0.000159952,0.000159952,0.000159952
10,61.1517,0.5141,1.47113,0.94754,0.57504,0.65175,0.64869,0.55012,0.6041,1.28446,1.00375,8.3821e-05,8.3821e-05,8.3821e-05
